"","Band01","Band02","Band03","Band04","Band05","Band06","Band07","Band08","Band8A","Band09","Band10","Band11","Band12","NDVI","Cobertura"
"1",1306,1383,1651,2609,2031,2363,2474,2947,2607,597,16,3690,2638,-0.000383435573894531,"Road"
"2",1306,1400,1673,2612,2031,2363,2474,3108,2607,597,16,3690,2638,-0.000958037911914289,"Road"
"3",1306,1423,1646,2597,2437,2698,2949,3208,3077,597,16,3987,2798,0.0845964029431343,"Road"
"4",1306,1411,1668,2657,2437,2698,2949,3124,3077,597,16,3987,2798,0.0732472985982895,"Road"
"5",1291,1384,1650,2676,2431,2573,2990,3103,3037,623,16,4098,3060,0.0631892159581184,"Road"
"6",1291,1370,1613,2497,2431,2573,2990,3048,3037,623,16,4098,3060,0.0975786074995995,"Road"
"7",1291,1379,1568,2480,2298,2596,2807,3029,3031,623,16,4369,3088,0.099981851875782,"Road"
"8",1291,1361,1585,2500,2298,2596,2807,2941,3031,623,16,4369,3088,0.0960043370723724,"Road"
"9",1291,1369,1645,2620,2427,2822,2959,3033,3178,623,16,4467,3026,0.0962400808930397,"Road"
"10",1291,1421,1666,2657,2427,2822,2959,3167,3178,623,16,4467,3026,0.0892887711524963,"Road"
"11",1312,1456,1684,2684,2564,2860,3085,3259,3312,621,14,4355,2929,0.104736492037773,"Road"
"12",1312,1468,1709,2709,2564,2860,3085,3276,3312,621,14,4355,2929,0.100149475038052,"Road"
"13",1312,1486,1761,2823,2549,2714,3060,3307,3170,621,14,4101,2880,0.0579008832573891,"Road"
"14",1312,1478,1791,2855,2549,2714,3060,3352,3170,621,14,4101,2880,0.0522821582853794,"Road"
"15",1312,1444,1745,2668,2265,2401,2827,3175,2867,621,14,3889,2802,0.0359530262649059,"Road"
"16",1333,1406,1669,2627,2407,2585,2871,3105,3067,589,14,4213,2991,0.0772743225097656,"Road"
"17",1306,1420,1620,2601,2300,2654,2850,3096,3092,597,16,4329,2816,0.0862462669610977,"Road"
"18",1306,1321,1565,2450,2300,2654,2850,2927,3092,597,16,4329,2816,0.115842655301094,"Road"
"19",1306,1241,1414,2169,2074,2255,2651,2752,2861,597,16,4179,2769,0.137574553489685,"Road"
"20",1312,1370,1567,2477,2319,2671,2810,3001,3139,621,14,4554,2884,0.117877490818501,"Road"
"21",1312,1405,1650,2599,2319,2671,2810,3097,3139,621,14,4554,2884,0.094109445810318,"Road"
"22",1315,1455,1744,2761,2428,2803,2912,3190,3176,634,14,4544,2907,0.0699006244540215,"Road"
"23",1315,1406,1692,2647,2428,2803,2912,2994,3176,634,14,4544,2907,0.0908466428518295,"Road"
"24",1333,1445,1708,2671,2379,2610,2867,3165,2982,589,14,3973,2851,0.0550150349736214,"Road"
"25",1333,1462,1761,2812,2379,2610,2867,3308,2982,589,14,3973,2851,0.029340697452426,"Road"
"26",1333,1389,1628,2556,2407,2585,2871,3140,3067,589,14,4213,2991,0.0908767580986023,"Road"
"27",1333,1290,1551,2431,2407,2585,2871,2979,3067,589,14,4213,2991,0.115678429603577,"Road"
"28",1315,1401,1629,2547,2428,2803,2912,3090,3176,634,14,4544,2907,0.109907388687134,"Road"
"29",1315,1468,1741,2728,2323,2745,2864,3319,3075,634,14,4381,2813,0.0597966574132442,"Road"
